Name,Street,City,Region,Zip
OKIO,2155 Crescent St. #100,Montreal,Quebec,H3G 2C1
Harry Toulch Optometrist,3750 Blvd Saint-Laurent,Montreal,Quebec,H2W-1Y4
"Eyelines, Inc.",128 W. Monroe,Chicago,,60603
Custom Eyes,134 N. LaSalle Street,Chicago,Illinois,60602
OPTICA,"The Shops at North Bridge, 520 N. Michigan Avenue",Chicago,,60611
WEAR Eyewear,750 N.Franklin Street,CHICAGO,,60654
Solo Eye Care,1 E. Delaware Place,Chicago,Illinois,60611
Glasses Ltd. Michigan,900 N Michigan Avenue,Chicago,,60611
Glasses Ltd. on Oak,50 East Oak Street,Chicago,,60611
Contacts and Specs Broadway,3123 N Broadway St<br> Suite A,Chicago,,60657
Linton Opticians,2500 Ridge Ave,Evanston,,60201
Optique North Shore Eye Care,561 Lincoln Avenue,Winnetka,,60093
Blink Optical Ltd.,654 Bank Lane,Lake Forest,,60045
Optix on Downer,2636 N. Downer Ave,Milwaukee,,53211
Vision Optique - Brookfield,19265 W. Capital Dr. Suite 101,BROOKFIELD,,53045
Innovative Optique,6944 N.Pt.Washington Rd.,Glendale,,53217
Eye Contact - Madison,7428 Mineral Road Point,Madison,,53717
Eyecare Associates of Bluffton,980 N Main Street,Bluffton,Indiana,46714
Ossip Optometry - Zionsville,1501 Oak Street,Zionsville,,46077
Ossip Mishawaka,"9795 Crosspoint Blvd,#100",INDIANAPOLIS,,46256
Ossip Optometry - Broad Ripple,804 Broad Ripple Avenue,INDIANAPOLIS,,46220
Optiks - Bloomington,101 W. Kirkwood Ave.,BLOOMINGTON,,47404
The Optical Shop - Ohio,3205 West Central,OTTAWA HILLS,,43606
Reed M Bouchey MD,501 S. White Street,Mount Pleasant,,52641
Birmingham Vision Center,4114 W. Maple Road,Bloomfield Township,,48301
Optik of Birmingham,245 West Maple,Birmingham,,48009
AUCOURANT,"The Somerset Collection, 2801 W. Big Beaver",Troy,,48084
Eye 1 Unique Eyewear,2319 Far Hille Avenue,Dayton,Ohio,45419
Eye 1 Cincinnati,2648 Erie Avenue,Cincinnati,,45208
The Eye Bar  - St. Louis,401 N Euclid Ave,Saint Louis,,63108
The Eye Bar - Clayton,169 Carondelet,Clayton,,63105
Arlington Optical,1756 West Lane Avenue,COLUMBUS,,43221
DWB Inc - Dba EyeDesigns Grandview,1421 Grandview Avenue,Columbus,,43212
Arlington Optical,262 Neil Avenue,Columbus,Ohio,43215
Eye Design,220 C Market Street,New Albany,Ohio,43054
"Eye Q, Intelligent Eyewear",20 2nd Ave SW,ROCHESTER,,55902
Family Eyewear,1212 Pleasant Street  Suite #101,DES MOINES,,50309
