CENTRAL OPTICA,33 LASALLE RD,WEST HARTFORD,CT,06107-2304
SAKS FIFTH AVE,176 YONGE STREET,TORONTO,ON,M5C 2L7
AUCELLO EYECARE CTR#30143,262 BROCKETT ST,NEWINGTON,CT,06111-3907
HARVEY & LEWIS OPTICIANS,325 BURNHAM ST,HARTFORD,CT,06108-1183
EYES ON LITCHFIELD,17C COMMONS DR,LITCHFIELD,CT,06759-3418
VISION CENTER LTD 20-1065,880 BRIDGEPORT AVE,SHELTON,CT,06484-4625
KENNEDY & PERKINS INC,80 WHITNEY AVE,NEW HAVEN,CT,06510-1217
VISION CENTER ASSOCIATES,2664 E MAIN ST,BRIDGEPORT,CT,06610-1422
COHEN FASHION OPTICAL,5065 MAIN ST,TRUMBULL,CT,06611-4201
CARAFANO OPTICIANS,532 MAIN ST,BRANFORD,CT,06405-3566
BRANFORD OPTOMETRIC,60 MONTOWESE ST,BRANFORD,CT,06405-3889
OPTICAL ALTERNATIVES,2480 BLACK ROCK TPKE,FAIRFIELD,CT,06825-2406
HUDSONS BAY,2695 GUILFORD TOWN CENTRE,SURREY,BC,V3R 7C1
EYE DOCTORS #267,200B VILLAGE WALK,GUILFORD,CT,06437-2755
VISUAL EYES LLC,705 BOSTON POST RD,GUILFORD,CT,06437-2733
HOLISTIC VISION CARE #549,20 MILLTOWN RD,BREWSTER,NY,10509-4344
PARK LANE OPTICIANS,1430 POST RD,FAIRFIELD,CT,06824-5909
VISIONE,431 POST RD E,WESTPORT,CT,06880
TRYITON EYEWEAR LLC,147 POST RD E,WESTPORT,CT,06880-3410
NORWALK EYE CARE,5 EVERSLEY AVE,NORWALK,CT,06851-5821
DR MARTIN ARKIN,148 EAST AVE,NORWALK,CT,06851-5714
NEW CANAAN EYE ASSOC #279,22 EAST AVENUE,NEW CANAAN,CT,06840
20/20 OPTICAL,15 ARCADIA RD,OLD GREENWICH,CT,06870-1701
CHIC' BOUTIQUE LLC,168 BEDFORD ST,STAMFORD,CT,06901-1901
LORD&TAYLOR,110 HIGH RIDGE ROAD,STAMFORD,CT,06905
TOTAL VISION PC  #9971,18 GREENWICH AVE,GREENWICH,CT,06830-5524
TRAPP OPTICAL,87 GREENWICH AVE,GREENWICH,CT,06830-5521
SAKS FIFTH AVENUE,205 GREENWICH AVENUE,GREENWICH,CT,06830
SAKS FIFTH AVE,205 GREENWICH AVENUE,GREENWICH,CT,06830
STAMFORD VISION CARE LLC,526 NEWFIELD AVE,STAMFORD,CT,06905-3746
MANDEL OPTICAL INSIGHT,19A RYE RIDGE PLZ,RYE BROOK,NY,10573-2822
TRAPP OPTICIANS,14 PURCHASE ST,RYE,NY,10580-3003
BLOOMINGDALES,175 BLOOMINGDALE ROAD,WHITE PLAINS,,10605
SOLSTICE,125 WESTCHESTER AVENUE STE 3070,WHITE PLAINS,NY,10601
BLOOMINGDALES,175 BLOOMINGDALE ROAD,WHITE PLAINS,NY,10605
NORDSTROM,135 WESTCHESTER AVENUE,WHITE PLAINS,NY,10601
NEIMAN MARCUS,2 EAST MAPLE AVENUE,WHITE PLAINS,NY,10601
METROVISION/VENTURE CAPITALISTS,245 MAIN ST,WHITE PLAINS,NY,10601-2411
LORD&TAYLOR,1440 NORTHERN BLVD,MANHASSET,NY,11030
EYE GALLERY OF CHAPPAQUA,22 S GREELEY AVE,CHAPPAQUA,NY,10514-3311
HUDSON VALLEY EYECARE,24 SAW MILL RIV RD,HAWTHORNE,NY,10532-1555
NYU LANGONE HEALTH,PO BOX 425,ELMSFORD,NY,10523-0401
TRAPP OPTICAL,10 HARWOOD CT,SCARSDALE,NY,10583-4104
EYE GALLERY OF SCARSDALE,8 SPENCER PL,SCARSDALE,NY,10583-4111
LARCHMONT VISION CARE,110 CHATSWORTH AVE,LARCHMONT,NY,10538-2901
MARCHELE OPTICAL,777 WHITE PLAINS RD,SCARSDALE,NY,10583-5000
SH LAUFER VISION WORLD #2205,971 CENTRAL PARK AVE,SCARSDALE,NY,10583-3211
OPTICAL VISIT,375 WHITE PLAINS RD,EASTCHESTER,NY,10709-2826
GLEN COVE EYEWARE DBA WATCHMAN NYC,6 FOREST AVE,GLEN COVE,NY,11542-2106
DMT INC.,3 SCHOOL ST,GLEN COVE,NY,11542-2548
GLEN OPTICS LTD           7825,26 GLEN ST,GLEN COVE,NY,11542-5005
OMNI VISION EYECARE,340 ROUTE 202,SOMERS,NY,10589-3207
MAIN STREET OPTOMETRY,89 MAIN ST,NORTHPORT,NY,11768
MOSS OPTICIANS,345 MAIN ST,HUNTINGTON,NY,11743-6942
EYEWEAR BY PATRICE,829 FT SALONGA RD,NORTHPORT,NY,11768-3187
SAKS FIFTH AVE,WALT WHITMAN MALL,HUNTINGTON STATION,NY,11746
TRAPP OPTICIANS,42 PONDFIELD RD,BRONXVILLE,NY,10708-3802
BRONXVILLE VISION CARE #7720,10 PARK PL,BRONXVILLE,NY,10708-4139
LORD&TAYLOR,157 MARKET STREET,YONKERS,NY,10710
VISION WORLD #4688,4678 BOSTON POST RD,PELHAM MANOR,NY,10803-3055
STERLING OPTICAL,5570 XAVIER DR,YONKERS,NY,10704-1322
ODS/ DR GLASSMAN,1940 COMMERCE ST,YORKTOWN HEIGHTS,NY,10598-4428
DR SCOTT WEIL,36 MAIN ST,PORT WASHINGTON,NY,11050-2919
EYE ON YOU FAMILY EYECARE,1535 IRVING ST,RAHWAY,NJ,07065-4035
DANNMARK DBA STERLING 341,55 PARSONAGE RD,EDISON,NJ,08837-2480
ALLURING EYES,59 PAGE AVE,STATEN ISLAND,NY,10309-2611
ILL BE SEEING YOU OPTICAL,262 ARDEN AVE,STATEN ISLAND,NY,10312-1202
SOLSTICE ,2655 RICHMOND AVENUE SP2334,STATEN ISLAND,NY,10314
PARTNERS IN VISION,1090 KING GEORGES POST RD,EDISON,NJ,08837-3701
AMBOY EYE CENTER   1213,94 SMITH ST,PERTH AMBOY,NJ,08861-4414
DBA STERLING OPTICAL,2655 RICHMOND AVE,STATEN ISLAND,NY,10314-5821
EYEKRAFTER MEDICAL OPTICS,911 OAK TREE AVE,SOUTH PLAINFIELD,NJ,07080-5130
I TO EYE,214 E BROAD ST,WESTFIELD,NJ,07090-2120
SALERMO JEWELERS,955 ELIZABETH AVE,ELIZABETH,NJ,07201-2644
LORD&TAYLOR,609 NORTH AVENUE,WESTFIELD,NJ,07090
OPTICAL ARTS INC,4351 HYLAN BLVD,STATEN ISLAND,NY,10312-6501
EYES ON ISLAND #3044,150 GREAVES LN,STATEN ISLAND,NY,10308-2114
COHENS FASHION OPTICAL,651 KAPKOWSKI RD,ELIZABETH,NJ,07201-4901
